name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Ian Devling,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/cto.jpg,Corporate,http://example.com/employee/profile,CTO office,"Ceo,tag1,manager,cto",false,Chief Executive Officer ,O-6066,,
DOES THE CHART HAVE DAILT PROFIT TARGET,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,CTO ,O-6067,,
YES,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,CTO ,O-6068,O-6067,
NO,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,CTO ,O-6069,O-6067,
LEAVE THE CHART,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,CTO ,O-6070,O-6069,
TRADE PICKED MARK (R) AND (S),https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,CTO ,O-6071,O-6068,
MARK RANGE,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",false,Linear Manager,O-6072,O-6071,
TRACE STRUCTURE,,,,,,,,O-6073,O-6071,
IS THE (S) IS 2 CANDLE ONLY,,,,,,,,O-6074,O-6073,
S NO,,,,,,,,O-6075,O-6074,
S YES,,,,,,,,O-6076,O-6074,
WRONG (S),,,,,,,,O-6077,O-6075,
MARK THE (S) AS RANGE,,,,,,,,O-6078,O-6077,
TRACE STRUCTURE AGAIN,,,,,,,,O-6079,O-6077,
IS THE HOLD IS TESTED,,,,,,,,O-6080,O-6076,
H NO,,,,,,,,O-6081,O-6080,
H YES,,,,,,,,O-6082,O-6080,
(S) HOLD NOT TESTED/ACTIVATED,,,,,,,,O-6083,O-6081,
MARK (S) AS RANGE AND TRACE (S) AGAIN,,,,,,,,O-6084,O-6081,
MARK LEVEL,,,,,,,,O-6085,O-6082,
MARK THE 4 CORE LEVEL,,,,,,,,O-6086,O-6082,
MARK THE INSIDE HOLD LEVEL,,,,,,,,O-6087,O-6082,
MARK MIDDLE LEVEL,,,,,,,,O-6088,O-6082,
LEVEL DONE MARK TREND,,,,,,,,O-6089,O-6082,
GO BACK AND MARK TREND,,,,,,,,O-6090,O-6082,
TREND,,,,,,,,O-6091,O-6090,
DOES THE RANGE HOLD IS TESTED,,,,,,,,O-6092,O-6091,
T YES,,,,,,,,O-6094,O-6092,
T NO,,,,,,,,O-6094,O-6092,
GO DOWN AND FIND INSIDE HOLD TREND,,,,,,,,O-6095,O-6094,
MARK THE TREND FIRST 1 ST TOUCH AND 2ND AS LEGACY,,,,,,,,O-6096,O-6095,
LOOK INSIDE,,,,,,,,O-6097,O-6095,
NO TREND,,,,,,,,O-6098,O-6097,
YES HAVE TREND,,,,,,,,O-6099,O-6097,
MARK THE FIRST SAME COLOR TO SECOND ONE TOUCH,,,,,,,,O-6100,O-6099,
TRANDE COMPLETED,,,,,,,,O-6101,O-6099,
MARK LOCAL AND GLOBAL,,,,,,,,O-6102,O-6099,
DOES THE TREND TOUCH RANGE IS HOLD TESTED,,,,,,,,O-6103,O-6099,
TT YES,,,,,,,,O-6104,O-6103,
TT NO,,,,,,,,O-6105,O-6103,
GO DOWN AND MARK BY TREND CONCEPT,,,,,,,,O-6106,O-6105,
MARK THE SECONT TOUCH TO THAT,,,,,,,,O-6107,O-6104,
TREND COMPLETED,,,,,,,,O-6108,O-6104,
ENTRY,,,,,,,,O-6109,O-6104,
PA,,,,,,,,O-6110,O-6109,
RA,,,,,,,,O-6111,O-6109,
CA,,,,,,,,O-6112,O-6109,
DOES A LEVEL TOUCHED,,,,,,,,O-6113,O-6110,
E YES,,,,,,,,O-6114,O-6113,
E NO,,,,,,,,O-6115,O-6113,
IS IT A CORE LEVEL,,,,,,,,O-6114,O-6114,
OR INSIDE HOLD,,,,,,,,O-6117,O-6114,
POTENTIAL SCALP + SWING,,,,,,,,O-6118,O-6114,
SCALP,,,,,,,,O-6119,O-6117,
RA ENTRY,,,,,,,,O-6120,O-6119,
FINISHED NEXT...,,,,,,,,O-6121,O-6120,
RA ENTRY DECIDE,,,,,,,,O-6122,O-6118,
FINISHED NEXT,,,,,,,,O-6123,O-6122,
IF LEVEL IS NOT TOUCHED THERE IS NO NEED TO ENTRY,,,,,,,,O-6124,O-6115,
STAY CALM AND WAIT,,,,,,,,O-6125,O-6124,
WHAT % IS MY RISK IF THE ENTRY FAIL,,,,,,,,O-6126,O-6111,
DOES THIS % IS MORE THAN 10%,,,,,,,,O-6127,O-6126,
RA YES,,,,,,,,O-6128,O-6127,
RA NO,,,,,,,,O-6129,O-6127,
MUST NOT BE GRATER THAN 10% OUT OF PLAN,,,,,,,,O-6130,O-6129,
FIND A POSSIBLE BEST LEVEL THAT FIT MY RISK,,,,,,,,O-6131,O-6130,
BUY /SELL,,,,,,,,O-6132,O-6128,
FINISHED NEXT.....,,,,,,,,O-6133,O-6131,
TREND.,,,,,,,,O-6134,O-6112,
LEVEL.,,,,,,,,O-6135,O-6112,
IS TREND IS BROKEN,,,,,,,,O-6136,O-6134,
DOES A LEVEL IS GAINED TO ENTER,,,,,,,,O-6137,O-6135,
TREND BROKEN BUT IS IT,,,,,,,,O-6138,O-6136,
INSIDE THE LEG OR,,,,,,,,O-6139,O-6138,
OUTSIDE IN THE BODY,,,,,,,,O-6140,O-6138,
TREND BREAK TO HOLD OR IF TESTED TO BREAK,,,,,,,,O-6141,O-6140,
FINISHED NEXT,,,,,,,,O-6142,O-6131,
IF TESTED RE ARAY,,,,,,,,O-6143,O-6139,
FINISHED NEXT,,,,,,,,O-6144,O-6143,
IF NOT TESTED FIRST IT MUST BROKE THAT,,,,,,,,O-6145,O-6139,
REARAY,,,,,,,,O-6146,O-6145,
FINISHED NEXT..,,,,,,,,O-6147,O-6146,
YESS,,,,,,,,O-6148,O-6137,
ENTRY GREEN BUY /SELL READY,,,,,,,,O-6149,O-6148,
NOO,,,,,,,,O-6150,O-6148,
WAIT STAY CALM,,,,,,,,O-6151,O-6150,
WAIT.....,,,,,,,,O-6152,O-6151,
